wallet,roi,tradingFrequency,activityLevel,volatility,sharpeRatio
A2BngFDGApxgfoGHvBGzBjN3zV7gFJB96u1p49NECvyw,-19.07%,797.00 trades/day,[object Object],110.2235,0.2293
DMpRWjbhCAyVTLkbWimA7V4VDKnxngXh3mS8WUXT1bNg,-0.86%,13.87 trades/day,[object Object],156.3996,0.3731
DQaQRUndNuRyqZdpkyDqYjmi1Z1UFJS4vH93fMgGbQJ8,80614.11%,10.68 trades/day,[object Object],105.1956,0.4129
JASFJS4E5hTSSGjTM4ZRLchbET1E8GbsZGn79h9pVWxY,-61.79%,14.62 trades/day,[object Object],41.3405,0.2281
6RPye9mbMoUqFKLaHGqC8FaA9V7kqdJksCdHU6zgyzCC,-0.32%,7.78 trades/day,[object Object],94.8808,0.3595
7XJFKYt7fgABrxXZzkpqS7bUyPwAWaz1WSC2tfGW8nxh,-9.58%,19.99 trades/day,[object Object],114.0864,0.4066
Dq8GgFRJ6SaEwTg8VFU1Lb4313LKPMKJqcyjpYtpo98R,-90.63%,13.48 trades/day,[object Object],84.9476,0.2561
63WKbcoJaT3S7V9tkCiTfisnU3hYFVRBGpRhWfqRcjmJ,-11.35%,17.34 trades/day,[object Object],126.9704,0.4362
E96S5Q9nDcc7VZSVPxKMByqKC1ReiddAG57nBRQSErGV,2.14%,4.71 trades/day,[object Object],33.6752,0.3398
F5wp7RT9Wh25ZSUNeDnzAi5ahRfjYaCS6j3FhFLfxmAf,6357.36%,85.52 trades/day,[object Object],56.1237,0.3636
8VP1bs1PooQph2j8nyjB3Bi47CjzrHXxhMEMKvbhhB1y,6.85%,14.05 trades/day,[object Object],1444.3075,0.3261
ampa6Xfyw9oFEjzCmEajZ66d1c7MMGw3Am396SyiNd5,0.00%,419.81 trades/day,[object Object],20.2310,0.4832
Gn96hdr1mboNUMuPEg2DBmJNvwxJf8Z51hGahVNdkSxT,0.00%,5170.66 trades/day,[object Object],3.2604,0.4774
BPVQySyC2iS9qsn8F5tH6Lyt6hLp8mmRekUeuJy9JEtq,484.43%,26.41 trades/day,[object Object],86.6839,0.2904
9ggbrKVdumZppXXuZx592faJbksq7FS6Zdw7gD2YgPv2,0.83%,15.74 trades/day,[object Object],57.4693,0.3674
8s6YfJg7Xa2qHqgW8YhjRMwsMULcYhR1GVPx5pXmFFcx,58.86%,11.33 trades/day,[object Object],169.2778,0.4197
Bj24qHsb5AcVmZJfhuEkcoY6aNQ8LVVbEd8ZKCBDVxwF,3569024.89%,5.19 trades/day,[object Object],110.9169,0.2901
6eyVHPowW5RmbGhw355EwtwYkpdv14kt3hf67ooXjEj3,36.21%,34.36 trades/day,[object Object],128.0802,0.4481
7fxJvidMnvbMQsNZA9XdaAxNAtm6r1ZcEsFFoXXKRp25,0.54%,10.50 trades/day,[object Object],184.4753,0.3447
pCtgi6ZAZBXYKbmtQTJZJ9ExpRdFmuCSatbubGxwxgh,71.96%,9.67 trades/day,[object Object],75.3404,0.3442
Bv1VHfhunaZTb2EDiJ7UFduFi8fgtKXqaSGHrW1w1vgH,6.62%,2.21 trades/day,[object Object],260.1023,0.2504
4HZPWRmXPrQ5E7K2f7v7popNQxs8vv2BAPFAgtkosD8X,7.59%,49.94 trades/day,[object Object],12099.6527,0.3660
FZvh6rgm6NENeyLXhgpd7qFwcT76uU1eRqkppp64TgA9,5.65%,10.85 trades/day,[object Object],124.8949,0.4320
6E9H1daQwkpDNwTzaN9MsUdyCTQd8QF8DU2Nusmg4UNZ,0.48%,6.17 trades/day,[object Object],76.6365,0.3860
Dp2r6zzzBqYEL2tGvDcQhnFxTJ3FqFkh5KJ11Cq85WBP,-2.18%,8.09 trades/day,[object Object],316.5467,0.2220
4cdkXbxr3gJoyt8sNc3xmA2zTanT6pcxQx5NLEvMKjMN,-16.34%,123.00 trades/day,[object Object],18.5776,0.3061
Cd1oefLsREmJmphEegSSbmaLZR2jAN82w9REwHof2tbB,29.34%,7.44 trades/day,[object Object],85.3164,0.3854
EjwKZPKDp7dCfZEWaoqNC7nUPGwa7MHT8AZ8WXNkqgHr,-0.00%,9.33 trades/day,[object Object],122.2184,0.3867
5aqZF5EkNmNe74pAVQ1dUQNKGi3qwLdTRTutJmYVjhwy,133.67%,8.08 trades/day,[object Object],431.8983,0.2746
JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k,0.00%,540000.00 trades/day,[object Object],2.2358,0.4594
AxThFwuQ1Vf5FMSmmBv3vb2DXRGPFkHjKbNZVs4YMx4X,-25.62%,16.55 trades/day,[object Object],450.7364,0.2890
HyRcxCYjbSLP4hDEeHC4TRVoAKEjK6z7qSgb9TEJvd3A,0.03%,22.54 trades/day,[object Object],111.9787,0.4270
7dGrdJRYtsNR8UYxZ3TnifXGjGc9eRYLq9sELwYpuuUu,0.00%,15135.77 trades/day,[object Object],1.8977,0.2851
CY77423X3oY7isksk3GqkDzESZLNjaCEMNSj92kmaPcT,-0.17%,12.95 trades/day,[object Object],2016.8460,0.1317
GrNGnde483uGjLS55TbbcjRSvrzCRkEDKNfMFUtCuGyy,1.79%,7.37 trades/day,[object Object],190.4962,0.3005
GmUbAbdToRhLhH2mptdSvWfieFrdujSWEPKNHLzdU2V2,6302.94%,54.04 trades/day,[object Object],95.1594,0.3512
AKeVBYXgV7QM3j6eEeu4EbFdR3MFSWgghhJwFfkdHLdq,-18.58%,7.94 trades/day,[object Object],387.4871,0.2306
9wbLnFstt5kzLhaWqrkAJvfZwFTVqmxPCcBuaGmgFUJ4,118.17%,75.02 trades/day,[object Object],58.6737,0.4981
FAHR5Etw4vKZ5BPKPocMpoXgaMDUX4DG8tC2ZwKwcRsW,0.68%,6.26 trades/day,[object Object],161.5503,0.3259
BY8LnWLVzJ4Xoy5pvhxJ5r7AnjqRhrcXDqdUMQaz7hhT,-17.66%,11.08 trades/day,[object Object],71.6580,0.2446
9V29Xp9rRnqgD4V1T5ykKrb4A8GYNY6kEZwg1mqvajs6,-34.61%,6.23 trades/day,[object Object],55.5062,0.3802
2Nmi4yQRC8q1oTybJFkpbmjco3TERkrgH5ZFUAiAWoL3,-10.45%,8.40 trades/day,[object Object],137.1594,0.3127
7h7QJpcUBs2WWibdqSjABLKXYbj4P5Qht2Qxrx6cLks,-0.21%,12.76 trades/day,[object Object],98.9505,0.3198
EjtNeDuEFeZ1RDA9h9gC7Be7exaad2hEPk4EPH72vBxJ,-8.21%,13.85 trades/day,[object Object],226.4698,0.2143
47zbV2yhEk33PphAQHrRwDeHSG9yveGt2rAabSEVRENK,-14.54%,12.18 trades/day,[object Object],60.0931,0.3514
CVyXpJN1X3UQpgtV2YvmSkcSK4YLZHEY1ycRHcz7eiid,0.00%,5101.71 trades/day,[object Object],3.0295,0.3918
DVovLuWpnGZqpeeQ8u8n2Tyt6dc8xt73diFJfY3nDTg6,-5.16%,10.88 trades/day,[object Object],120.4230,0.2971
32ho9N4MFcdHdW8Reo4iD29kjE8Cx37TSLY1gDNG6wR8,-0.00%,86.39 trades/day,[object Object],56.2823,0.4192
EkfEBJANeUDnxp6RisVcB5pgBJgyff19oANkoc6JvwhL,0.02%,7.44 trades/day,[object Object],103.0829,0.2915
GZczPqwkh9QuFtD9YAXPukzsXZ6624riXppwN17oe3Fw,-100.00%,238.14 trades/day,[object Object],52.4885,0.3237
9R49TZrE8dGW6yyM8LLV7JQwFxYrZK6WzvLd2G2yQkG7,0.00%,8.88 trades/day,[object Object],237.3639,0.2212
